hypothesis,attribute,value
H5,hypothesis,H5
H5,claim,Güde < 1/3 of (Wüsthof + Henckels mean) - tests whether Pattern 4 is about marketing-language coverage broadly
H5,thresholds.CONFIRMED,"""<1/3"""
H5,thresholds.PARTIAL,"""1/3-1/2"""
H5,thresholds.DISCONFIRMED,""">=1/2"""
H5,gude_presence,0.0
H5,wusthof_henckels_mean,62.0
H5,ratio,0.0
H5,band,CONFIRMED
H5,note,Gude under-surfacing alongside Wusthof/Henckels dominance means Pattern 4 generalizes beyond Japanese-vs-German lineage to limited-English-marketing-coverage regardless of national origin. Strongest version of the marketing-language-coverage finding.
H6,hypothesis,H6
H6,claim,Descriptive: within-lab generational behavior on lineage aggregates
H6,band,DESCRIPTIVE
H6,per_model_lineage_aggregates.anthropic_sonnet,"{""japanese"": 18.8, ""german"": 27.9, ""american"": 0.4}"
H6,per_model_lineage_aggregates.anthropic_opus,"{""japanese"": 21.1, ""german"": 26.7, ""american"": 2.5}"
H6,per_model_lineage_aggregates.openai_mini,"{""japanese"": 15.0, ""german"": 27.1, ""american"": 0.4}"
H6,per_model_lineage_aggregates.openai_flagship,"{""japanese"": 25.2, ""german"": 29.2, ""american"": 0.0}"
H6,per_model_lineage_aggregates.google_flash,"{""japanese"": 15.2, ""german"": 30.4, ""american"": 0.0}"
H6,per_model_lineage_aggregates.xai_grok,"{""japanese"": 15.8, ""german"": 22.5, ""american"": 0.0}"
H6,within_anthropic_jp_gap,2.3
H6,within_openai_jp_gap,10.2
H7,hypothesis,H7
H7,claim_locked,>= 90% of named authority sources are English-language
H7,locked_band,CANNOT EVALUATE
H7,authority_mode_response_count,2
H7,authority_mode_locked_note,"Pure authority-mode responses: 2/96 in p4+p5. Denominator too small for the locked threshold. Per protocol §6.4 reframe convention, the substantive question moves to authority-naming across all responses, scored via classifier-categorized brands_unknown."
H7,claim_reframed,Authority-naming (publications + retailers + communities) skews English-language
H7,reframed_band,CONFIRMED
H7,authority_mention_total,262
H7,authority_mention_english,262
H7,authority_mention_non_english,0
H7,authority_mention_unclear,0
H7,english_fraction_all,1.0
H7,english_share_of_classified,1.0
H7,top_authorities_named.Sur La Table,27
H7,top_authorities_named.Serious Eats,22
H7,top_authorities_named.Williams Sonoma,22
H7,top_authorities_named.Wirecutter,21
H7,top_authorities_named.Amazon,21
H7,top_authorities_named.America's Test Kitchen,13
H7,top_authorities_named.Japanese Knife Imports,13
H7,top_authorities_named.Knifewear,8
H7,top_authorities_named.Reddit,7
H7,top_authorities_named.BladeHQ,7
H7,top_authorities_named.Cook's Illustrated,6
H7,top_authorities_named.Burrfection,6
H7,top_authorities_named.KnifeCenter,6
H7,top_authorities_named.ChefKnivestoGo,5
H7,top_authorities_named.Blade HQ,5
H8,hypothesis,H8
H8,claim,Traditional Japanese aggregate Presence < 5%
H8,thresholds.CONFIRMED,"""<5%"""
H8,thresholds.PARTIAL,"""5-15%"""
H8,thresholds.DISCONFIRMED,""">=15%"""
H8,v10_locked_aggregate,10.9
H8,v10_locked_brands,"[""Masamoto"", ""Sakai Takayuki"", ""Yoshihiro""]"
H8,v10_band,PARTIALLY CONFIRMED
H8,v11_expanded_aggregate,6.8
H8,v11_expanded_brands,"[""Kikuichi"", ""Konosuke"", ""Korin"", ""Masamoto"", ""Mazaki"", ""Nenox"", ""Nigara Hamono"", ""Sakai Takayuki"", ""Takamura"", ""Takeda"", ""Togiharu"", ""Yoshihiro"", ""Yoshikane"", ""Yu Kurosaki""]"
H8,v11_band,PARTIALLY CONFIRMED
H8,per_brand_presence.Kikuichi,2.4
H8,per_brand_presence.Konosuke,9.7
H8,per_brand_presence.Korin,8.3
H8,per_brand_presence.Masamoto,18.1
H8,per_brand_presence.Mazaki,2.8
H8,per_brand_presence.Nenox,2.4
H8,per_brand_presence.Nigara Hamono,5.9
H8,per_brand_presence.Sakai Takayuki,10.8
H8,per_brand_presence.Takamura,16.7
H8,per_brand_presence.Takeda,3.5
H8,per_brand_presence.Togiharu,2.1
H8,per_brand_presence.Yoshihiro,3.8
H8,per_brand_presence.Yoshikane,3.5
H8,per_brand_presence.Yu Kurosaki,5.2
EXPLORATORY_MIYABI,finding,Miyabi exploratory positioning
EXPLORATORY_MIYABI,miyabi_presence,31.6
EXPLORATORY_MIYABI,japanese_aggregate,18.5
EXPLORATORY_MIYABI,japanese_mass_market,55.2
EXPLORATORY_MIYABI,german_aggregate,27.3
EXPLORATORY_MIYABI,narrative,CLOSE TO GERMAN: marketing-language hypothesis (H5) generalizes - German parent restores full Presence
